src_subject_id,FA_cingulatecingulum_R,FA_CinguluteCingulum_L,FA_corpuscallosum,FA_Corticospinal_L,FA_Corticospinal_R,FA_forecepsmajor,FA_forecepsminor,FA_Fornix_L,FA_Fornix_R,FA_IFC_SupFrontal_L,FA_IFC_SupFrontal_R,FA_inferiorfrontooccipitalfasiculus_L,FA_inferiorfrontooccipitalfasiculus_R,FA_inferiorlongfascic_L,FA_inferiorlongfascic_R,FA_ParahippocampalCingulum_L,FA_ParahippocampalCingulum_R,FA_parietalSLF_L,FA_parietalSLF_R,FA_temporalSLF_L,FA_temporalSLF_R,FA_striatal_IFC_L,FA_striatal_IFC_R,FA_superiorcorticalstriate_Frontal_L,FA_superiorcorticalstriate_Frontal_R,FA_superiorcorticalstriate_Parietal_L,FA_superiorcorticalstriate_Parietal_R,FA_ThalamicRadiations_R,FA_thalamicradiations_L,FA_uncinate_L,FA_uncinate_R
NDAR_INV00CY2MDM,0.52502244,0.5477931,0.58792368,0.60745501,0.62261507,0.65701225,0.52619823,0.40252969,0.38827877,0.43576193,0.43890519,0.53861542,0.52419654,0.50521265,0.47527824,0.36997076,0.37681125,0.45948468,0.50790684,0.51992113,0.52178321,0.44747986,0.41603186,0.43376502,0.46543137,0.46631861,0.49639406,0.38543857,0.41775414,0.47873902,0.45785182
NDAR_INV00HEV6HB,0.44919209,0.49929871,0.5775254,0.57898634,0.595112,0.66792437,0.48034913,0.34955575,0.35993983,0.45193189,0.45474122,0.49401938,0.48875823,0.48964149,0.475332,0.3314736,0.32068932,0.49348154,0.52215353,0.52567054,0.54151183,0.40697869,0.39889329,0.43471795,0.43884229,0.43146821,0.4576961,0.38954414,0.3731168,0.4324163,0.40577145
NDAR_INV014RTM1V,0.36957856,0.45010053,0.53721047,0.58109393,0.58621628,0.5315575,0.51844383,0.30139688,0.31913093,0.41485431,0.4267716,0.44028658,0.42639511,0.44956054,0.42035393,0.30616418,0.32838152,0.42114881,0.44320818,0.44341236,0.44262924,0.3645579,0.35339618,0.44252195,0.47887684,0.44136198,0.49020571,0.34743854,0.35834752,0.40303185,0.41590139
NDAR_INV01AJ15N9,0.48958385,0.53689513,0.61251499,0.61022146,0.6120987,0.66021379,0.57039467,0.38319435,0.38676844,0.48230037,0.49248438,0.49125775,0.48628449,0.48973681,0.48739787,0.30229889,0.33827181,0.52159436,0.52283883,0.55599403,0.52212103,0.42667224,0.36300008,0.46472931,0.47533619,0.49148921,0.52142094,0.35665766,0.38711077,0.43124281,0.42088907
NDAR_INV01NAYMZH,0.49320664,0.49088545,0.62554816,0.65849294,0.65663958,0.66319679,0.57070777,0.41370076,0.40923054,0.51041196,0.48157256,0.53096438,0.48663727,0.5514481,0.52007922,0.39034751,0.41771041,0.54182349,0.50985677,0.5737442,0.51632106,0.43840152,0.38150182,0.50745252,0.50779998,0.53946363,0.5506978,0.43131184,0.45672211,0.47674932,0.44027981
NDAR_INV01RGTWD2,0.4908931,0.53951204,0.59391271,0.61847533,0.61987587,0.64084329,0.54343459,0.39156882,0.39895988,0.45662832,0.45485489,0.48210513,0.49101257,0.49527221,0.47979408,0.39071328,0.36963004,0.5060505,0.48034674,0.53470275,0.50449383,0.4062894,0.39802206,0.4469115,0.46698804,0.48420436,0.51029924,0.42590533,0.43786957,0.42977333,0.42318394
NDAR_INV01Z8HAPV,0.52281252,0.57882995,0.62724265,0.63052993,0.62469898,0.69769877,0.57227479,0.38489345,0.40456853,0.49843916,0.48479561,0.53664502,0.52560218,0.5274511,0.49796156,0.38637433,0.40037112,0.51070212,0.53313864,0.56251648,0.54775148,0.47282386,0.42374704,0.47990333,0.47867066,0.5062848,0.51579272,0.40740593,0.43123511,0.49278993,0.46100047
NDAR_INV021403LF,0.42230291,0.50177701,0.5746484,0.61401716,0.61500709,0.64017147,0.53815205,0.40787103,0.41606602,0.44286014,0.45390505,0.47661322,0.46506956,0.50738127,0.4979564,0.38134928,0.3384104,0.46557517,0.47188558,0.48660888,0.49303322,0.40435637,0.38117472,0.44749826,0.45522625,0.47211519,0.48673409,0.36854451,0.39761286,0.44934981,0.42254103
NDAR_INV028D3ELL,0.42097429,0.46250912,0.55825224,0.55163364,0.53494854,0.59272234,0.47393847,0.33034718,0.32466347,0.41217472,0.42201875,0.46229343,0.43119896,0.48493244,0.44276267,0.2854605,0.30079411,0.45989417,0.44810946,0.47459696,0.45883194,0.33391026,0.33681582,0.41146019,0.41474785,0.45148952,0.46464746,0.32301365,0.37221717,0.35899336,0.35402695
NDAR_INV02EBX0JJ,0.44875019,0.51518507,0.58244722,0.58045852,0.57165648,0.65755819,0.53435762,0.37092395,0.37635602,0.42810088,0.44296219,0.46521915,0.47600686,0.45928865,0.44470283,0.33761521,0.36862768,0.4716854,0.49039227,0.52053547,0.50289238,0.39845292,0.39434541,0.43027448,0.44847899,0.46642105,0.49199541,0.37724507,0.42968969,0.44390597,0.43400333
NDAR_INV02H7G2T6,0.43166333,0.42018037,0.51146734,0.54688122,0.54975733,0.51908425,0.4315807,0.31890827,0.30065575,0.43891935,0.43112884,0.45188232,0.45456921,0.44146001,0.44788055,0.26671197,0.26156314,0.44861465,0.47513079,0.47412774,0.45770915,0.33494741,0.34310287,0.42781031,0.4323894,0.4670565,0.4465104,0.34955886,0.35317788,0.39704428,0.36941377
