auditory_auditory_ABS,auditory_cingulooper_ABS,auditory_cinguloparietal_ABS,auditory_DAN_ABS,auditory_DMN_ABS,auditory_EXE_ABS,auditory_retrospenialtemporal_ABS,auditory_salience_ABS,auditory_sensorymotorhand_ABS,auditory_sensorymotormouth_ABS,auditory_VAN_ABS,auditory_VIS_ABS,cingulooper_cingulooper_ABS,cingulooper_cinguloparietal_ABS,cingulooper_DAN_ABS,cingulooper_DMN_ABS,cingulooper_EXE_ABS,cingulooper_retrospenialtemporal_ABS,cingulooper_salience_ABS,cingulooper_sensorymotorhand_ABS,cingulooper_sensorymotormouth_ABS,cingulooper_VAN_ABS,cingulooper_VIS_ABS,cinguloparietal_cinguloparietal_ABS,cinguloparietal_DAN_ABS,cinguloparietal_DMN_ABS,cinguloparietal_EXE_ABS,cinguloparietal_retrospenialtemporal_ABS,cinguloparietal_salience_ABS,cinguloparietal_sensorymotorhand_ABS,cinguloparietal_sensorymotormouth_ABS,cinguloparietal_VAN_ABS,cinguloparietal_VIS_ABS,DAN_DAN_ABS,DAN_DMN_ABS,DAN_EXE_ABS,DAN_retrospenialtemporal_ABS,DAN_salience_ABS,DAN_sensorymotorhand_ABS,DAN_sensorymotormouth_ABS,DAN_VAN_ABS,DAN_VIS_ABS,DMN_DMN_ABS,DMN_EXE_ABS,DMN_retrospenialtemporal_ABS,DMN_salience_ABS,DMN_sensorymotorhand_ABS,DMN_sensorymotormouth_ABS,DMN_VAN_ABS,DMN_VIS_ABS,EXE_EXE_ABS,EXE_retrospenialtemporal_ABS,EXE_salience_ABS,EXE_sensorymotorhand_ABS,EXE_sensorymotormouth_ABS,EXE_VAN_ABS,EXE_VIS_ABS,retrospenialtemporal_retrospenialtemporal_ABS,retrospenialtemporal_salience_ABS,retrospenialtemporal_sensorymotorhand_ABS,retrospenialtemporal_sensorymotormouth_ABS,retrospenialtemporal_VAN_ABS,retrospenialtemporal_VIS_ABS,salience_salience_ABS,salience_sensorymotorhand_ABS,salience_sensorymotormouth_ABS,salience_VAN_ABS,salience_VIS_ABS,sensorymotorhand_sensorymotorhand_ABS,sensorymotorhand_sensorymotormouth_ABS,sensorymotorhand_VAN_ABS,sensorymotorhand_VIS_ABS,sensorymotormouth_sensorymotormouth_ABS,sensorymotormouth_VAN_ABS,sensorymotormouth_VIS_ABS,VAN_VAN_ABS,VAN_VIS_ABS,VAN_VIS_ABS.1
0.3433,0.19199961,0.08379645,0.08225965,0.00728673,0.08228174,0.05129532,0.00813287,0.1375445,0.3633267,0.01905012,0.01599989,0.35786939,0.02356644,0.20542039,0.14133728,0.02317368,0.11171305,0.06175637,0.00386806,0.22393985,0.01089967,0.10045832,0.94236866,0.01143126,0.05076685,0.02146516,0.35198608,0.14635178,0.20546974,0.08062545,0.10544625,0.10653114,0.34109468,0.18320916,0.03692573,0.10835038,0.12369591,0.03665958,0.15765149,0.104743,0.24345992,0.26305621,0.09626338,0.10731937,0.06769661,0.04338429,0.01088215,0.01638825,0.00968927,0.24490613,0.05897853,0.10250725,0.02305354,0.15693837,0.02724605,0.19796787,0.61317745,0.03504334,0.03125007,0.04501931,0.13422029,0.08613206,0.4255159,0.16374718,0.09617443,0.1312467,0.13648535,0.35558054,0.11775187,0.04258231,0.07316044,0.66729221,0.03578979,0.15123026,0.24466478,0.09889868,0.51414506
0.24884846,0.22005134,0.01455621,0.08475378,0.08974358,0.01734936,0.07479891,0.10177346,0.12503438,0.16258852,0.0062953,0.0481381,0.35280642,0.08647294,0.16138971,0.23037503,0.00334494,0.23846326,0.19827568,0.15522856,0.13190437,0.05408538,0.00157517,0.79757524,0.00521003,0.07860356,0.15348182,0.10902192,0.15611626,0.00945701,0.00586154,0.09523406,0.06390536,0.28054086,0.20175069,0.00730485,0.13243786,0.0520573,0.09012921,0.12463666,0.11499745,0.22604349,0.38051536,0.04377971,0.12449956,0.03484857,0.16527027,0.09521214,0.11724496,0.0620517,0.33775234,0.0525344,0.08490328,0.03843409,0.04788059,0.00457095,0.09587035,0.44826372,0.16676814,0.07578614,0.08750217,0.06040928,0.04388858,0.30058808,0.05985521,0.0114997,0.03568712,0.13687492,0.31753512,0.0462176,0.04419951,0.05289859,0.66196311,0.05978578,0.07896847,0.15617358,0.10571426,0.50005898
0.39539859,0.23788212,0.15423121,0.02227185,0.05938501,0.04087611,0.03491158,0.11793695,0.07240365,0.23441961,0.12932401,0.15251477,0.32494795,0.15868384,0.01157773,0.0231993,0.00322224,0.20291695,0.17169308,0.08049597,0.11964584,0.1597834,0.11262449,0.77889761,0.0762536,0.00082997,0.05454069,0.10163529,0.03684117,0.07225455,0.04959168,0.10620878,0.04244085,0.239993,0.16397698,0.12245392,0.03852757,0.21305677,0.08113856,0.00292836,0.12820817,0.2146564,0.35306003,0.01007576,0.08958325,0.14236805,0.0639239,0.01993059,0.09116959,0.19004701,0.22010914,0.11868501,0.12100317,0.0882507,0.01181197,0.10010049,0.13728868,0.62227276,0.25075446,0.01839739,0.08134636,0.21121802,0.19636479,0.522875,0.07486537,0.02214562,0.19404645,0.24903519,0.27850967,0.057841,0.02720372,0.00774526,0.49235159,0.0640156,0.11244358,0.22599855,0.18697293,0.45710958
0.39005126,0.2050423,0.01116236,0.01246489,0.09770841,0.00597132,0.23472471,0.16004574,0.1668308,0.19563336,0.22368405,0.22603671,0.34393036,0.02025515,0.11703928,0.05562472,0.03667057,0.21093649,0.15877949,0.14536329,0.16185667,0.12686773,0.07500024,1.19084895,0.00033135,0.01901958,0.06720089,0.05491786,0.2195868,0.05843619,0.00522457,0.0606749,0.06425669,0.31349619,0.13490073,0.10540743,0.04245507,0.15533328,0.00080244,0.10697263,0.09757848,0.25809663,0.18289886,0.00356056,0.06580751,0.07018247,0.00148872,0.0063414,0.05054043,0.11388304,0.09745494,0.02996827,0.07583002,0.01127376,0.05515486,0.04121603,0.13584969,0.69276115,0.091499,0.1653224,0.14454882,0.215971,0.21978903,0.42581415,0.05466606,0.0339913,0.17192075,0.24384569,0.23699262,0.00863019,0.11934435,0.19171402,0.55091694,0.06758347,0.05985892,0.25113689,0.27058096,0.62781386
0.31176273,0.16912452,0.06520038,0.02337549,0.00997694,0.02315302,0.05919275,0.00916286,0.11755303,0.18818116,0.07468118,0.16472292,0.36477108,0.15554558,0.08326663,0.09220567,0.04604229,0.09644701,0.20720745,0.00106456,0.08008695,0.00390712,0.09561362,0.88476893,0.0301892,0.01491475,0.14712892,0.07138251,0.26091522,0.18482492,0.11514447,0.0789205,0.05457274,0.20637854,0.11201222,0.03658063,0.04146642,0.03215389,0.01236486,0.04353037,0.08503521,0.15573174,0.22252921,0.03031918,0.01559241,0.00169999,0.04554205,0.01265604,0.03088301,0.02990125,0.23427039,0.11856144,0.23905069,0.04779305,0.06534325,0.02579993,0.12292106,0.63750272,0.13771259,0.09705279,0.03447909,0.07792731,0.22743546,0.58595638,0.13302308,0.06256647,0.0308776,0.12949218,0.29542247,0.07912498,0.03096366,0.1308074,0.48643353,0.013064,0.00614548,0.20350021,0.09727027,0.53667309
0.25777755,0.12493495,0.03973704,0.02036704,0.02454693,0.03050903,0.07495386,0.0213735,0.19570534,0.16706909,0.02125961,0.10853402,0.30981314,0.14714262,0.09553845,0.00122461,0.03161566,0.11213041,0.17115962,0.07617557,0.09090536,0.01502496,0.02094798,0.66890106,0.02236921,0.01830122,0.07254044,0.05864037,0.1887811,0.03825841,0.01841114,0.00409042,0.11149419,0.26181459,0.08434574,0.11061291,0.01776651,0.0861228,0.02465177,0.06110331,0.09578907,0.18578693,0.29443328,0.10837104,0.13281173,0.17317558,0.03285754,0.01306128,0.11178336,0.03789883,0.17955776,0.02865848,0.0110749,0.05412877,0.05602514,0.0376255,0.16287297,0.59277591,0.12605029,0.04686459,0.0415013,0.20590179,0.12943172,0.44713603,0.08841286,0.05547513,0.12235023,0.05397938,0.35727318,0.18312938,0.03650903,0.08859535,0.41155594,0.03581945,0.02308765,0.22205952,0.10071259,0.3718113
0.32130428,0.13637184,0.01014901,0.07899601,0.02411613,0.00331121,0.06374606,0.00689817,0.08986284,0.18895291,0.02935923,0.05127846,0.29948857,0.06559367,0.13365927,0.0800429,0.00977211,0.06755436,0.123793,0.01179163,0.02850776,0.00339679,0.0254619,1.05830761,0.12064685,0.02753229,0.03488428,0.35510341,0.08608766,0.07640286,0.15580937,0.02566016,0.022352,0.38892263,0.27264456,0.05948909,0.14867652,0.08774688,0.01937235,0.10183297,0.11044148,0.230208,0.32635887,0.0495076,0.02775619,0.11138092,0.03380504,0.03664907,0.11343637,0.13961559,0.25110083,0.17648296,0.13143407,0.06337039,0.00330606,0.00687215,0.06653536,0.58307611,0.18796365,0.02279636,0.15451172,0.13830472,0.06303598,0.37385622,0.10534699,0.04375532,0.13353406,0.12157516,0.18109572,0.11983589,0.00999122,0.04699934,0.7180803,0.00905107,0.02620289,0.21905294,0.12573705,0.42970399
0.30978518,0.22564019,0.05018819,0.04501336,0.01451348,0.0334484,0.10162435,0.08980774,0.05510154,0.24426245,0.066138,0.01289471,0.32419885,0.09441223,0.06225136,0.00792469,0.02526091,0.15754059,0.18039585,0.10578669,0.1553723,0.03540531,0.0171247,0.8639304,0.12421649,0.04408802,0.00427385,0.17644508,0.11891256,0.00496153,0.22108354,0.11728207,0.24330126,0.2045616,0.07801738,0.01079199,0.02128796,0.02769274,0.05179509,0.07557789,0.11362104,0.14181781,0.20360017,0.08676836,0.07114445,0.00428538,0.04920804,0.04562229,0.08392693,0.06073347,0.18382394,0.02459093,0.14669588,0.00978284,0.04231551,0.00446605,0.06411977,0.4980808,0.07708065,0.09189395,0.15669564,0.09491975,0.13045014,0.38076223,0.01414643,0.01705789,0.00748268,0.07331157,0.18861967,0.02083781,0.03783428,0.03059093,0.73393323,0.05247347,0.11612369,0.22286825,0.07388772,0.34713781
0.2619913,0.17842818,0.11644723,0.12670199,0.02874482,0.07835952,0.01660134,0.04981522,0.19273075,0.22642789,0.01574487,0.07800546,0.36152726,0.16404638,0.22487793,0.18471058,0.00029718,0.14119775,0.0177083,0.1227527,0.15637483,0.03677766,0.06678742,0.67332006,0.15667431,0.11887511,0.0948138,0.08522316,0.08336181,0.24039391,0.16958961,0.00633129,0.0420951,0.36565128,0.1549227,0.10547867,0.08928336,0.14770226,0.23475274,0.22402262,0.16377387,0.29928981,0.25567086,0.06489814,0.05864546,0.03021794,0.03390743,0.02116025,0.03090702,0.03954086,0.22398367,0.1161834,0.10101247,0.23305308,0.11947597,0.08083836,0.22697036,0.4363284,0.04499939,0.02680109,0.01828449,0.01798234,0.05781812,0.27767833,0.17946168,0.06302685,0.11403815,0.18904415,0.51289474,0.21768136,0.09517845,0.28231747,0.4911022,0.08203112,0.22097006,0.22050164,0.16131057,0.54912762
0.28674618,0.15661784,0.16231701,0.12341271,0.01461819,0.01481477,0.02184992,0.00413101,0.21526611,0.15364757,0.0729015,0.0493878,0.26763,0.09513571,0.14960306,0.09118259,0.0079917,0.09906265,0.13639043,0.06115754,0.07275817,0.0738224,0.00852415,0.86855254,0.1347422,0.12055473,0.0518825,0.16300959,0.16542944,0.23653828,0.16101532,0.08018576,0.01705699,0.24951563,0.15471747,0.01082006,0.11070981,0.06406026,0.07365224,0.09233218,0.00900079,0.10140862,0.26597814,0.02889674,0.11994572,0.07267634,0.04744164,0.0383001,0.04365478,0.00208001,0.18791053,0.14897536,0.05843162,0.07667237,0.08098266,0.02762019,0.12211715,0.72630411,0.00410288,0.04609888,0.04647144,0.11200534,0.18974984,0.38054217,0.11566386,0.17132177,0.06351733,0.05270929,0.38680266,0.17646077,0.07345945,0.06892722,0.61484191,0.05538151,0.06357638,0.1994349,0.06202459,0.37456757
